basin,model,dataset,regime,A_up,A_lo,E5_up,E5_lo,B5_up,B5_lo,E1_up,E1_lo,E20_up,E20_lo,alpha_star_up,alpha_star_lo,delta_bar,beta_bar,Delta_asym,n,m1,zero_frac,cp1_up,ncp_up,cp1_lo,ncp_lo,H_mean_up,H_mean_lo,H5_up,H5_lo,NSE,lnNSE,KGE,KGEp,KGEnp,PBIAS,RMSE,RSR,VE,MAPE,SMAPE,BiasFHV,BiasFLV,BiasFMS,PeakBias,Q95Bias,Q90Bias,BFIBias
116011A,lstm[nse],camels_aus,pub,0.472907054241664,0.3547194617696455,0.34916256031590653,0.3647501838876481,-0.3443728606950644,0.3647501838876481,0.46716977645822927,0.6109873020431328,0.43323204775063334,0.19921761391186477,,0.2237957690423817,0.44002969311008555,-0.39243160081478445,0.11818759247201849,3652,37,0.0,0.11,6,0.06,6,0.11312308970058897,0.1170054794757126,0.33519709816602294,0.0,0.40913932147284804,0.1658814652205437,0.0974654159247259,0.35800231609410826,0.36384820824077735,-60.53954844387931,4.85688885472217,0.7686746246150915,0.3846610210787459,63.66215819252857,88.00593862201727,-58.66287476390398,68.27710839865155,-16.329964547266584,-66.80067353725046,16.818848364906547,-15.911416689692961,-4.921314792345064
116012A,lstm[nse],camels_aus,pub,0.46051264277202825,0.38850172860232923,0.5802304823704086,0.7378495515114923,-0.5790418588767514,0.7378495515114923,0.7130605349082443,0.8750329393117587,0.49565824235221556,0.3764340695882574,,0.5013670324550767,0.38866370822009744,-0.23367086401195544,0.07201091416969901,3652,37,0.0,0.07,6,0.06,6,0.21298506983591345,0.2137558460962279,0.13714994912413553,0.0,0.2692536724130613,0.5189413791604929,-0.05638337099726831,0.22798242353623777,0.2602766096513409,-68.43366304900681,6.450575075383932,0.8548370181426039,0.2987833684304787,91.68550731001068,77.73274164401955,-74.8570556043982,54.976506856600494,-35.18438233133039,-82.79927403469665,169.91211537645447,55.68445114172059,18.852865317804778
116013A,lstm[nse],camels_aus,pub,0.518130564333805,0.32507989436778795,0.5014349764519989,0.2449631538861063,-0.4971146196247156,0.24216229500309927,0.5244370778545205,0.5060606689379338,0.5063305518695459,0.1850133892934759,,0.1697218079827168,0.44192367117673786,-0.4090708469246789,0.19305066996601705,3652,37,0.0,0.27,6,0.06,6,0.1604022280849726,0.1616102878023539,0.149316914084466,0.4480094970613373,0.42931322089506296,0.16118993789082714,0.09750426630417985,0.3153635789464514,0.3226307316140302,-64.26262495757169,4.136401355236454,0.755438137179304,0.33922916460463515,61.7526548002721,88.38473423534748,-60.632713988133055,-20.06138364361067,-20.199584897731913,-65.6762122787871,-14.464648781284351,-31.094538667375797,-2.1814087997560927
116014A,lstm[nse],camels_aus,pub,0.3073131963214554,0.7184904203042995,0.4232159606072786,1.0,-0.39073001891040254,1.0,0.4732710251216073,1.0,0.2946982709662768,0.9852500014141107,0.6710886421571906,,0.4576545426226528,0.2798823352427432,-0.4111772239828442,3652,37,0.13499452354874042,0.06,6,0.2,6,0.4365165311837626,0.4414762219043809,0.483818487481368,0.0,0.5028019499264733,0.5364107733632153,0.34464416624115424,0.5212107704791414,0.5453025719354514,-37.13993491942406,2.498022935673435,0.7051227198676318,0.3891877015784252,1846.1569065537142,91.53090852453055,-47.68687453639299,64.13330075453766,-46.25610110683721,-60.747448019812644,5122202634811.401,5782252550125.122,15.498690228279518
116015A,lstm[nse],camels_aus,pub,0.5349502558120687,0.348192825471043,0.4953312227364227,0.2041604152619947,-0.4802430753604254,0.15920363313198566,0.5079879158093188,0.40177794600852745,0.5343491548627112,0.20365608477390204,,0.13318960987172482,0.46618646741418246,-0.43159113708531766,0.18675743034102565,3652,37,0.0,0.36,6,0.13,6,0.256352315834247,0.2601079369693889,0.3123991756899326,0.7567049240388612,0.3870889976756955,-0.050487916265854915,0.08369771209289989,0.29835751251224496,0.31288769980638775,-63.9288596070976,5.554810196444723,0.7828863278435154,0.31918969011766307,63.51661635055642,93.23729348283676,-59.3189333688133,55.31884314615308,-3.054895113099058,-65.61646021937551,-20.30792043493708,-32.750077736581545,-5.0417851265998115
121001A,lstm[nse],camels_aus,pub,0.6650953063392757,0.34865894936753633,0.4759532103215674,0.08743169398907104,-0.4743044544055554,0.08743169398907104,0.3315491439466452,0.10810810810810811,0.6046823167250805,0.07660738714090287,,0.3505148792902929,0.5781829158768533,-0.46366887578065613,0.3164363569717394,3652,37,0.31051478641840086,0.06,6,0.27,6,0.42302658307358226,0.4186331093392452,0.10150137111080604,,0.6639149946460834,0.4416711760269143,0.25014466769538746,0.36617991940453765,0.3168612361779857,-57.55259597469301,2.070326945683186,0.579728389294432,0.4012638360578973,640.6796789321482,115.63658317537066,-47.860626220925624,-0.0,-14.1385268791197,-46.13010294238742,0.0,0.0,-22.45108425503842
122004A,lstm[nse],camels_aus,pub,0.41585764746124815,0.794920447301576,0.5431733096414778,1.0,-0.508125099132024,1.0,0.5951303369556087,1.0,0.4345655600698387,1.0,0.6344662646972862,,0.557386160892502,0.3341711501899614,-0.3790627998403278,3652,37,0.2319277108433735,0.06,6,0.26,6,0.4767894382576462,0.47830040796281736,0.5275237066161678,0.0,0.3739534851955799,0.6447042563159471,0.08872110648563025,0.3299614519278661,0.399361353268186,-55.236834649764255,13.959115523314296,0.7912310122868164,0.28080918136117095,1035.4102960877242,111.47723217850047,-65.27570489337687,-489.6179008872106,-61.75192829118945,-74.39543722039767,3912109136581.421,6277287006378.174,52.58646664544484
126003A,lstm[nse],camels_aus,pub,0.2888823308528273,0.4289716219132151,0.34220735572425004,0.366120218579235,-0.22664545417991616,0.366120218579235,0.4429288448171425,0.2972972972972973,0.2505733558096408,0.4545613952464906,0.6184502977597,,0.35937173208830064,0.11387423387560001,-0.1400892910603878,3652,37,0.16757940854326397,0.06,6,0.17,6,0.7584556965357436,0.7635585975093339,0.8453098604750773,0.0,0.565491792303239,0.7465961809127142,0.3515983079627327,0.5242861325412224,0.6034889867001443,-33.26784480535193,6.944769542744823,0.6591723656956205,0.40005436184271315,680.0411234460137,71.87434641766008,-48.51636540086317,-32.62758876574886,-35.88308722749734,-59.9146500831097,0.0,0.0,21.075937186296024
136202D,lstm[nse],camels_aus,pub,0.38846236475306944,0.8374417323119534,0.3249317174863136,1.0,-0.19864900442195807,1.0,0.27001446072034324,1.0,0.3022845237246881,0.9919836264185932,0.3509656105403579,,0.5993214406704109,0.492115842658037,-0.44897936755888396,3652,37,0.16073384446878422,0.17,6,0.26,6,0.3090870877800991,0.3168457281534416,0.8795953703083459,0.0,0.7509545769332953,0.06087442899938378,0.7535402245716696,0.7950429938926381,0.5066367041772577,-6.377067800798551,1.5860859201600719,0.4990445101057668,0.43080821863038077,2930.4638809913413,119.86428813408226,-17.51924662096662,-219.153830060443,-60.14632494269566,-19.76369863312081,1467182636260.987,1766955852508.545,8.881291006676514
136203A,lstm[nse],camels_aus,pub,0.518860841794309,0.9261654585497847,0.2925028247802886,0.9672131147540983,-0.1524896407408973,0.9672131147540983,0.25717953003604227,0.972972972972973,0.36299417062556,0.9699042407660738,0.3859600284634506,,0.7522740098405115,0.5915988831962455,-0.4073046167554757,3652,37,0.5739320920043811,0.07,6,0.56,6,0.302273526072475,0.31089669633467504,0.9138548952977359,0.0,0.7906929360595835,-0.2180043160786027,0.6727962495012363,0.7426503032300598,0.42592066225363134,-10.07346955422995,0.9734899089668703,0.4575008895515029,0.41573942918459494,1197.5931217842517,150.45480196810232,-24.688781561057567,-9.23397958803124e+17,-87.22211023047065,-30.788947308317002,446856021881.1035,831884145736.6943,-0.34911056363931786
