basin,perturbation,pclass,A_up,A_lo,E5_up,E5_lo,B5_up,B5_lo,E1_up,E1_lo,E20_up,E20_lo,alpha_star_up,alpha_star_lo,delta_bar,beta_bar,Delta_asym,n,m1,zero_frac,cp1_up,ncp_up,cp1_lo,ncp_lo,H_mean_up,H_mean_lo,H5_up,H5_lo,NSE,lnNSE,KGE,KGEp,KGEnp,PBIAS,RMSE,RSR,VE,MAPE,SMAPE,BiasFHV,BiasFLV,BiasFMS,PeakBias,Q95Bias,Q90Bias,BFIBias
208009,P6_shift_3d,P6,0.2843360002899629,0.17410234222816423,0.538851978689459,0.2227754845490205,-0.4034548533603036,0.1348207656027753,0.7843586730057734,0.2986617551965834,0.3477538871395964,0.17711284683564937,0.9010367392730115,,0.19797985854050082,0.011079986354709019,0.11023365806179869,3652,37,0.0,0.06,6,0.08,6,0.9410653575764135,0.9377501085526518,0.780264250802065,0.8939070756663469,-0.5374763526617694,0.624444899832833,0.2608030693068276,0.26126510718883056,0.8504735169626692,0.9275966091615199,1.369968492810228,1.2399501411999474,0.3027778176392796,50.88755701199289,39.59597170810029,1.7186689836101603,3.199982047036133,1.4128600093560792,-85.2254783318198,-2.585097626553623,-1.1253184047719436,-7.431087296366226
208009,P7_var_compress_0.80,P7,0.0942189160733631,0.357440280188121,0.1025833890719989,0.7130969647910789,-0.09836342288817825,0.7130969647910789,0.10404970852445629,0.8590396607981801,0.07797156745188626,0.49339149847253916,0.5224302798109884,,0.18665738908978455,0.14794121104855396,-0.26322136411475794,3652,37,0.0,0.66,6,0.06,6,0.45456283411142573,0.45844522388654935,0.4431651425124965,0.0,0.943236288289251,0.7489316507478729,0.8175011191897933,0.8104958656448833,0.9099774986287449,0.8670978575744089,0.2632338584307614,0.23825136245308018,0.7850433551363833,81.67286047686501,37.33147781795692,-16.109334910513372,81.77643651061902,-28.436974664781292,-17.568039631744465,260.7467606012011,160.58868480314553,-0.4172716793222678
208009,P7_var_compress_0.90,P7,0.07316535546410012,0.25347181631262905,0.07324485330410553,0.5663309588296681,-0.03768270624916302,0.5663309588296681,0.06324256204805184,0.7656329265781485,0.06535246190527755,0.34226171791627014,0.5195450618256258,,0.13132734993419903,0.09560547162901009,-0.18030646084852892,3652,37,0.0,0.62,6,0.06,6,0.6169178939345715,0.6266399744981714,0.902521439544912,0.0,0.9709166497900271,0.8841483280609472,0.9420938439832014,0.9296135455126592,0.9536532622127578,1.407219042843205,0.1884206827879259,0.1705384127109576,0.8462478963427813,44.90553719551693,26.26546998683981,-4.508789581996557,77.1487460891415,-14.917471271426313,-6.444525551865009,132.738576883881,80.0340757484359,-4.790601161568478
208009,P8_mult_noise_0.10,P8,0.04001731181515931,0.040079922910079654,0.04297140562427549,0.04305006417433675,-0.0011365894687960167,-0.00082636984432004,0.0455851778776122,0.046329223649191474,0.03951816393868605,0.04044438292693558,0.017126888822104207,0.036688134402317184,0.039592249069132515,-0.0005364293622933933,-6.26110949203465e-05,3652,37,0.0,0.14,6,0.38,6,0.997491411040536,0.9974887029951028,0.9986002462252808,0.9992377622931015,0.9838440069513041,0.9927784035801872,0.9639051873997296,0.9683289618744925,0.9873311108559772,0.4433908134124261,0.14043429733030763,0.12710622741902106,0.9172387702494604,7.950990998643513,7.918449813826506,1.6994698801651218,4.958927150635063,1.4048943052672231,0.6558756965764103,-0.6481725974230035,-1.800200412530573,-4.103248413101442
208009,P8_mult_noise_0.30,P8,0.1143482949532718,0.1151150232516919,0.10679521327696431,0.11458920649046088,-0.00938025306153152,-0.003022227999093662,0.12629091035951576,0.09550598201902755,0.11528678783937656,0.11627690270351985,,0.021792275890598234,0.11479194159713087,-0.00516491652962663,-0.0007667282984201024,3652,37,0.0,0.06,6,0.12,6,0.9967772472302042,0.9967789705027394,0.9970299046027404,0.9987645258885822,0.8907716513584039,0.9367460172727333,0.8726954619105407,0.8992032745870733,0.9478287258133924,2.7276646390002983,0.36515230017303607,0.3304971234997306,0.7658469264524443,23.710728933528415,22.958388319426184,4.654835406710384,1.8233614430580098,5.850351094474749,3.4844489528310296,-5.3108180411981945,-5.583202681387612,-17.71169983183372
212209,P1_peak_damp_0.70,P1,0.06628761577313344,0.05900408058935768,0.08855148148887335,0.06185518165847959,-0.07324586902067055,0.004536888347637016,0.14553232082514247,0.06199081072131475,0.06587651153827846,0.05816801249255779,,0.02519228272267772,0.06059018273834418,-0.005613116835878837,0.007283535183775759,3652,37,0.0,0.06,6,0.09,6,0.982377784402852,0.9769545677467341,0.7505742250889604,0.9989754340948863,0.9245451942883937,0.988767386188531,0.8172758736172046,0.8628608015496635,0.9347501539771357,-5.657398618875774,0.9183624990653649,0.2746903815418485,0.8606550786592352,12.099955745192752,12.118036547668833,-19.52304772028441,-20.838691866541332,0.42475617908348967,-25.316975943336434,0.24014530904949458,0.8565079805096077,-2.0154319451259255
212209,P1_peak_damp_0.85,P1,0.060951608590273335,0.060068510610680956,0.0633882054437691,0.06081348209504502,-0.03227896575652488,-0.0034215663759768456,0.0702916002042643,0.05705766540899942,0.06062966944361709,0.06129213478361266,,0.10388930605371859,0.0601853813316789,-0.0023476053631191203,0.0008830979795923788,3652,37,0.0,0.43,6,0.19,6,0.9926035287844838,0.99195397291833,0.948424142239418,0.9955890766698682,0.9657222289853121,0.9890291911976644,0.9456790668095919,0.9580935029167862,0.9777821594696582,-1.4543027897330247,0.6189805110379775,0.18514256942877255,0.8768857190763099,12.106759759050417,12.037076266335795,-5.1274258409096465,-13.919709319650563,-0.020755270380170807,-8.234159273760884,-1.7705855832933728,0.8593400351411361,-4.11721471002237
212209,P2_peak_infl_1.15,P2,0.062134091359638786,0.05907718473440319,0.06751330634056246,0.05814750946155493,0.03792488718589951,0.009581939716761094,0.06787948423400007,0.05615416816451078,0.06427310223752919,0.059291848109546075,,0.0223990819960206,0.06017294268484726,0.002554691253349435,0.0030569066252355975,3652,37,0.0,0.07,6,0.32,6,0.9902937415788375,0.9887227355801947,0.8995830583056652,0.9966686452246292,0.9434415076070151,0.9890067934272939,0.8389657479183584,0.8871080369044141,0.9452038660764849,4.691897194374336,0.7950960590580197,0.2378202943253266,0.8650755913222201,12.230289491361953,12.03458853696949,15.785890575299081,-11.242898313363824,0.36153389606667924,15.05418765549256,0.9129343662038449,1.4914488658232583,-5.461953163352963
212209,P2_peak_infl_1.30,P2,0.062727782876541,0.05822925812486451,0.0777798848750854,0.06053126106078048,0.06476055053828497,0.0018090960184145165,0.09525793084802409,0.06777514153276472,0.06393323772877221,0.0578028922508718,,0.023432098567509208,0.058982137065736635,0.002697623702455228,0.004498524751676496,3652,37,0.0,0.08,6,0.18,6,0.9831418481915428,0.9777931816392939,0.7450640367753141,0.9998740000662858,0.9300218814728833,0.9893329495471526,0.7912688354047761,0.8604441519277406,0.9217597633900628,6.739931273188411,0.8844062833457403,0.2645337757775303,0.856821763937387,12.004640729479627,11.79642741314735,22.475934179704097,-15.294613685517511,-1.1045157266374017,22.171625946141223,-0.7858274625426624,-0.40487720635887764,-5.7536572846579705
212209,P3_base_infl_0.10,P3,0.07258468400108312,0.19967290059815673,0.07174324585149558,0.38403701424325526,-0.010432503625395287,0.38403701424325526,0.06822762390905904,0.47019034772926516,0.06539270463277684,0.26529468271339585,0.014643055287061894,,0.11663969622948513,0.08797992448194776,-0.12708821659707362,3652,37,0.0,0.68,6,0.06,6,0.6248812018557236,0.6347528469080227,0.9891163716760808,0.0,0.9689427631604379,0.9564322447781545,0.9628783840186347,0.9538695490786829,0.9560253271611653,3.34898128426171,0.5891855615515263,0.1762306353604904,0.8558296542396898,29.785025653426516,23.32793924589704,2.877367405018491,26.682908147738225,-10.662200635724982,-0.4772020756425349,82.99190991733276,64.99018792829152,-3.356134650040712
