basin,run,A_up,A_up_p05,A_up_p95,A_lo,A_lo_p05,A_lo_p95,alpha_star,alpha_star_p05,alpha_star_p95
102101A,aus_lstm_nse_s0,0.2539519649995947,0.260125812729082,0.2643455777744709,0.5303402220232112,0.5350158463236112,0.5394617735691749,0.17988972026838623,0.18105845705217316,0.19014627915939358
410761,aus_lstm_nse_s0,0.2354344694409309,0.2415324778926919,0.24632574260879536,0.48341637788207675,0.48873884548558766,0.49399893948050383,0.44087647804929936,0.4889293473373493,0.5280233363149838
116006B,aus_lstm_nse_s0,0.22499925118221978,0.23424269202083123,0.23901735824050668,0.4254847557716444,0.4261612000844004,0.4326220990545165,,,
406224,aus_gr4j_kge,0.8334988803984852,0.831993346532941,0.8349698874637493,0.9980176717438678,0.9980060287968366,0.9980409182704719,0.030219469742351537,0.02965542640084846,0.03137731559177612
230210,aus_gr4j_kge,0.6557307215088504,0.6550526745886444,0.6579485746147393,0.977360507120319,0.9772312693896777,0.977540887066142,0.1387461629261823,0.13596776991048642,0.14552117852409793
406208,aus_gr4j_kge,0.49589768439794324,0.4951885433504923,0.4989910353593764,0.9202054779530248,0.9200224668586682,0.921196900201543,,,
401217,aus_gr4j_kge,0.11612938053289353,0.13267242835417306,0.13797750729688465,0.16499174442956813,0.18747822412156515,0.19466989085747183,0.10731320257917394,0.1282617455187916,0.1697951339885519
613002,aus_gr4j_kge,0.23178087325171048,0.23341560383628226,0.23803849543420114,0.7052635802889297,0.7087020673837235,0.7117889612752973,,0.01012152170636837,0.01641916163931651
405264,aus_gr4j_kge,0.12090936319489058,0.13770716813548708,0.14286027637829266,0.16198277456981444,0.1893720944229863,0.19649998551731854,0.9745149434513812,0.9646189471483502,0.9881776574173124
226222,aus_gr4j_kge,0.22705794420836548,0.21847375394018634,0.22368049214136626,0.23270828353487216,0.2697638258734941,0.2781239128142386,0.0980244796074324,0.11305163588023914,0.13398606618455902
616002,aus_gr4j_kge,0.6662158929685018,0.6653225614826251,0.6690763061558325,0.988498553758768,0.9884555598444223,0.9885902058989438,0.09250622119485974,0.08762424811682805,0.09687654381353089
102101A,aus_gr4j_kge,0.4904036005884689,0.49128857628645817,0.4951517461867203,0.630946286531021,0.626195428923351,0.6311706042982458,,,
305202,aus_gr4j_kge,0.3221566405644683,0.32515854563168406,0.329665093565614,0.4670088943314008,0.4734350329360545,0.4796919905129843,0.7276004461908412,0.7419560597947664,0.7645898788989467
G8190001,aus_gr4j_kge,0.6689870364545921,0.6694457722345687,0.676080900452125,0.8450149933505086,0.8443266310345944,0.847263590121138,0.9996239124809103,0.9980121023375568,0.9999158612983833
G9070142,aus_gr4j_kge,0.41739679981714717,0.4155197650647263,0.4196332284363468,0.7556333204616799,0.755878243230273,0.758951491714485,0.14322543687036693,0.1343445844056346,0.16065672057080796
G9030250,aus_gr4j_kge,0.41994084071542304,0.41271439395896325,0.417597381525347,0.433960156800926,0.4466666516092252,0.453830242120541,0.3896931951540149,0.40231418440611705,0.41583741900660587
116006B,aus_gr4j_kge,0.27010807628693617,0.2763331359389099,0.28145897259166613,0.2830093042428418,0.2908260455529003,0.29845916491344066,,,
410761,aus_gr4j_kge,0.29763542351291705,0.30214283060527825,0.30721930249636525,0.4671838253125774,0.47096537142082295,0.47683909784263373,0.8216210539576753,0.822283880838661,0.8392665789422927
210006,aus_gr4j_kge,0.3780263979455732,0.38079367786308277,0.38533309977191893,0.6399111218966089,0.6417292046738597,0.6455041221771203,0.8874738705378181,0.885217145078876,0.890637936235465
