model_a,model_b,criterion,n_basins,flip_rate
gru[nse],lstm[nse],delta_bar,221,0.4253393665158371
gru[nse],patchtst[nse],A_up,221,0.09502262443438914
gru[nse],patchtst[nse],A_lo,221,0.17194570135746606
gru[nse],patchtst[nse],E5_up,221,0.04524886877828054
gru[nse],patchtst[nse],E5_lo,221,0.248868778280543
gru[nse],patchtst[nse],delta_bar,221,0.13122171945701358
gru[nse],tcn[nse],A_up,221,0.34841628959276016
gru[nse],tcn[nse],A_lo,221,0.39819004524886875
gru[nse],tcn[nse],E5_up,221,0.31221719457013575
gru[nse],tcn[nse],E5_lo,221,0.46153846153846156
gru[nse],tcn[nse],delta_bar,221,0.3891402714932127
gru[nse],transformer[delta],A_up,221,0.2895927601809955
gru[nse],transformer[delta],A_lo,221,0.5701357466063348
gru[nse],transformer[delta],E5_up,221,0.2398190045248869
gru[nse],transformer[delta],E5_lo,221,0.6244343891402715
gru[nse],transformer[delta],delta_bar,221,0.45248868778280543
gru[nse],transformer[logmse],A_up,221,0.058823529411764705
gru[nse],transformer[logmse],A_lo,221,0.3393665158371041
gru[nse],transformer[logmse],E5_up,221,0.04072398190045249
gru[nse],transformer[logmse],E5_lo,221,0.5294117647058824
gru[nse],transformer[logmse],delta_bar,221,0.1493212669683258
gru[nse],transformer[mae],A_up,221,0.40271493212669685
gru[nse],transformer[mae],A_lo,221,0.4434389140271493
gru[nse],transformer[mae],E5_up,221,0.3574660633484163
gru[nse],transformer[mae],E5_lo,221,0.49321266968325794
gru[nse],transformer[mae],delta_bar,221,0.43891402714932126
gru[nse],transformer[mse],A_up,221,0.3574660633484163
gru[nse],transformer[mse],A_lo,221,0.4751131221719457
gru[nse],transformer[mse],E5_up,221,0.27149321266968324
gru[nse],transformer[mse],E5_lo,221,0.5294117647058824
gru[nse],transformer[mse],delta_bar,221,0.42081447963800905
gru[nse],transformer[nse],A_up,221,0.3574660633484163
gru[nse],transformer[nse],A_lo,221,0.47058823529411764
gru[nse],transformer[nse],E5_up,221,0.38009049773755654
gru[nse],transformer[nse],E5_lo,221,0.5610859728506787
gru[nse],transformer[nse],delta_bar,221,0.37104072398190047
hbv[kge],hbv[lnnse],A_up,221,0.6334841628959276
hbv[kge],hbv[lnnse],A_lo,221,0.6742081447963801
hbv[kge],hbv[lnnse],E5_up,221,0.3212669683257919
hbv[kge],hbv[lnnse],E5_lo,221,0.6380090497737556
hbv[kge],hbv[lnnse],delta_bar,221,0.669683257918552
hbv[kge],lstm[delta],A_up,221,0.334841628959276
hbv[kge],lstm[delta],A_lo,221,0.3891402714932127
hbv[kge],lstm[delta],E5_up,221,0.2895927601809955
hbv[kge],lstm[delta],E5_lo,221,0.4072398190045249
hbv[kge],lstm[delta],delta_bar,221,0.3438914027149321
hbv[kge],lstm[logmse],A_up,221,0.4298642533936652
hbv[kge],lstm[logmse],A_lo,221,0.49321266968325794
hbv[kge],lstm[logmse],E5_up,221,0.4298642533936652
hbv[kge],lstm[logmse],E5_lo,221,0.5656108597285068
hbv[kge],lstm[logmse],delta_bar,221,0.45701357466063347
hbv[kge],lstm[mae],A_up,221,0.18099547511312217
hbv[kge],lstm[mae],A_lo,221,0.22171945701357465
hbv[kge],lstm[mae],E5_up,221,0.248868778280543
