basin,model,dataset,regime,A_up,A_lo,E5_up,E5_lo,B5_up,B5_lo,E1_up,E1_lo,E20_up,E20_lo,alpha_star_up,alpha_star_lo,delta_bar,beta_bar,Delta_asym,n,m1,zero_frac,cp1_up,ncp_up,cp1_lo,ncp_lo,H_mean_up,H_mean_lo,H5_up,H5_lo,NSE,lnNSE,KGE,KGEp,KGEnp,PBIAS,RMSE,RSR,VE,MAPE,SMAPE,BiasFHV,BiasFLV,BiasFMS,PeakBias,Q95Bias,Q90Bias,BFIBias
104001A,patchtst[nse],camels_aus,temporal,0.5061223942212753,0.9015456460066502,0.5424183282274088,0.9890710382513661,-0.5406168707784962,0.9890710382513661,0.7595767479177272,1.0,0.34654785672895344,0.9849521203830369,0.25033020432662106,,0.7019437742266628,0.6093957241305769,-0.39542325178537496,3652,37,0.23877327491785322,0.06,6,0.43,6,0.19666312126714505,0.19667561890933472,0.32617119848042064,0.0,0.11148987113999476,0.03593883191442837,0.006378908241741477,0.04718407721603213,0.5780068492291668,-17.186147863952154,4.678034269042646,0.9426081523411547,0.09093568097393578,29192.020353021195,140.38875484533276,-69.56345680167779,-984.6926661659528,-74.52286767890827,-89.96566140397965,12810434401035.309,16308090388774.873,45.07835691912751
105101A,patchtst[nse],camels_aus,temporal,0.5877079007597784,0.9352986464189232,0.4187957301427406,1.0,-0.3930142132486977,1.0,0.6657916123635412,1.0,0.4036068543153417,0.9995325409265374,0.14931194662692057,,0.7788944109573906,0.7251497061965708,-0.34759074565914483,3652,37,0.1486856516976999,0.06,6,0.5,6,0.09406380762519362,0.09492884976640706,0.6110777473829101,0.0,0.2306975863133902,-0.6039662879127834,0.20541341227901977,0.13707416272045192,0.4702838705147415,26.579618391676217,3.0311980072958904,0.8770988619799992,-0.1916923288222081,62561.35974019498,155.778882191478,-58.624729269682895,43.768282011400544,-63.15575561782048,-82.30494467788824,25826165080070.496,29181128740310.668,52.487813999909854
105102A,patchtst[nse],camels_aus,temporal,0.6636278184757297,0.943101944264009,0.6183724983789305,0.9781420765027322,-0.6083438680648087,0.9781420765027322,0.8471615418097802,0.972972972972973,0.4883555885275539,0.987688098495212,0.1942917250865013,,0.817090416435214,0.7190114022291013,-0.27947412578827924,3652,37,0.2677984665936473,0.06,6,0.51,6,0.16328852036464617,0.16326578607699058,0.4090242037942504,0.0,0.0786103904888048,-0.31975723623207863,-0.09965420820617732,-0.03023206016766289,0.38760099102668455,-31.830869172073946,4.28179782063421,0.9598904153658351,-0.1060930582601054,17193.07939806161,163.4180832870431,-78.13680679440697,-1970.0428464762656,-68.64720554259597,-93.35057453919161,4432830214500.428,6655518412590.027,93.09255442033147
105105A,patchtst[nse],camels_aus,temporal,0.5388034680282402,0.8868372282273962,0.3957272823246632,1.0,-0.35106478475160524,1.0,0.7182609563537449,1.0,0.41099564327080607,0.9943816580364068,0.1229133018288443,,0.7132370019026828,0.6689628714509642,-0.348033760199156,3652,37,0.13499452354874042,0.1,6,0.35,6,0.1030677142605554,0.10393275640176886,0.7281693765128514,0.0,0.15597046745611587,-0.5012730150268698,0.05844202715800695,-0.03545920797680946,0.3259374949733591,49.33855349164531,4.360087221650381,0.9187107991875813,-0.34716712137870154,5401.485197873708,142.64740038053674,-61.470684211396076,80.7125109690491,-46.75746775655631,-85.25653465547852,41236666589975.36,45862266421318.055,55.023254455228646
107001B,patchtst[nse],camels_aus,temporal,0.4217279392602991,0.800679794386971,0.42561172054671326,1.0,-0.40796151717690254,1.0,0.6164688936201977,1.0,0.3270620821216474,0.958483169895924,0.19192296704175954,,0.5885302981581333,0.5042527697326125,-0.3789518551266719,3652,37,0.0627053669222344,0.06,6,0.18,6,0.280065633847198,0.28006563384719807,0.5452689834159354,0.0,0.31430308001526663,-0.05191790146272601,0.33969418040784505,0.2805319359501355,0.5582046961197721,17.77867620368986,3.065195142991087,0.8280681855890452,0.06262805443539987,2670.1936387097717,117.70605963162659,-49.984908839909586,-62.83536645216339,-42.32779383948043,-78.44552708644744,31560103446245.2,8490.668901587635,30.523491207364785
108002A,patchtst[nse],camels_aus,temporal,0.32870214592958136,0.3982959350914877,0.494830144221038,0.6456395971118662,-0.49450740372991947,0.6456395971118662,0.7637926572798632,0.7181678993381285,0.3234899271243972,0.4794558099549948,0.36936030098173106,,0.3238775110889269,0.17220114477926662,-0.06959378916190634,3652,37,0.0,0.06,6,0.06,6,0.609488966375493,0.6093430515635189,0.24752919970540982,0.0,0.18861582751134043,0.4328779275434237,0.16988999792993076,0.18905072697375813,0.6204095491647942,-6.312363962450231,7.15996332160498,0.9007686564754901,0.2494440676263372,122.99422469136366,64.77550221778544,-70.42819517320689,38.780012671879994,8.322850896723452,-87.66043388666792,156.41062461842367,122.46645330133181,29.08944569234259
108003A,patchtst[nse],camels_aus,temporal,0.3154050462341407,0.36035734284839843,0.5500564686015814,0.6215307118544077,-0.5498737996229881,0.6187754163746937,0.7453606627847145,0.7787079675340445,0.3137532481284904,0.42216500942892327,0.505708311161259,,0.29460812677708975,0.1346163681062982,-0.04495229661425776,3652,37,0.0,0.06,6,0.06,6,0.6185269121023829,0.6185269121023826,0.12160884228173488,0.06189561206760528,0.20341885645233548,0.5349713323847161,0.17548013064850654,0.2134172526558601,0.6797812531020042,-11.855382850601965,10.243435238855746,0.892513945856122,0.3510580709083114,92.98850617984935,58.92162535541801,-70.50356207093495,-582.7193951198237,-4.634766951117058,-86.50395062562103,146.22570417448065,94.76537751098839,27.330041459176933
112002A,patchtst[nse],camels_aus,temporal,0.24342146482760477,0.2956795929872697,0.527336378756708,0.4681189476214481,-0.5270371858310133,0.4657111740815862,0.7474990379366592,0.5806399996477376,0.2441791959659232,0.3692586366635663,0.7416871360634264,,0.2266741403695775,0.07216417992282521,-0.052258128159664935,3652,37,0.0,0.06,6,0.08,6,0.734992079963735,0.734065685941805,0.16522183297896653,0.10825947025895395,0.24340106973489528,0.5952058756612223,0.21078392768439091,0.26212528435354,0.7173312069779183,-14.816796328276215,9.952435960561205,0.8698269542070451,0.5045081175479809,62.53716182860065,45.33482807391556,-70.53865745371851,-1125.5776019590526,-12.759885666832794,-86.34738808723684,73.4366782541056,71.35757662655348,10.48068215724542
112102A,patchtst[nse],camels_aus,temporal,0.22830083654275096,0.26445086240203486,0.43912611980735045,0.3843449049107847,-0.4351680056058194,0.36449861512707477,0.7186639125259484,0.5755065222938145,0.21607971386178487,0.3088183082255138,0.6055428861713815,,0.21543038742001536,0.08079818839525953,-0.036150025859283896,3652,37,0.0,0.06,6,0.06,6,0.7540482651604614,0.7490885744398432,0.20246588163468174,0.41103066119528,0.2913799779845412,0.6017420155364881,0.2797557474987793,0.31117529739121885,0.7403388979594477,-8.527934434571172,8.429585643674523,0.8417957127566396,0.5259408161173129,60.208430438748195,43.08607748400304,-64.69206995188578,-61.2164477063822,-8.949445884222376,-84.69440542031909,38.86782148429533,42.953406187063855,5.997948096566857
113004A,patchtst[nse],camels_aus,temporal,0.32336065208588244,0.2076992825185171,0.550597510413811,0.20970831024960848,-0.5501129467674134,0.177941591051583,0.7771631630898955,0.28235429824453157,0.34873526407850214,0.16616867835195911,,0.23829026742275977,0.24879893076424128,-0.18112933028378,0.11566136956736534,3652,37,0.0,0.06,6,0.06,6,0.6385176748361274,0.6355735107808869,0.09051174905861292,0.6525746056380255,0.18825462665675274,0.4764470227095038,0.10037327613856328,0.26979965284042795,0.5207021170439119,-43.33370811297457,7.743932313067152,0.9009691300723056,0.5015975571905451,40.58641308565474,49.759786152848335,-71.29864736724996,7.125161468881573,10.24486374954514,-88.2388585391006,5.939811854750558,-6.733094105546307,7.737299587956572
