basin,run,B5_up,BiasFHV,agree_peak,B5_lo,Q95Bias,agree_low,BFIBias,k_obs,k_sim,alpha_star,PBIAS
401217,aus_gr4j_lnnse,-0.04953168754975195,1.2020106838874451,False,0.06038668235622198,-0.18080342564732815,False,-0.007380313560008501,0.9643652500650548,0.9757006260798757,0.17870794746532723,6.927963866914812
405264,aus_gr4j_lnnse,-0.09660285722148654,-16.483853832855715,True,0.20020460599995446,0.8406177559141196,True,0.9459744073560981,0.9646511225454653,0.9726796864834157,0.5377193076699798,0.7102682673899272
226222,aus_gr4j_lnnse,-0.11033942885521675,69.03991431460416,False,0.2537174006889974,30.77628395894291,True,4.052699773038191,0.9798073964089659,0.9876442070976351,0.09801819997186773,50.63582723848178
613002,aus_gr4j_lnnse,0.08951416217350311,59.208528836072,True,1.0,2498605794713.5586,True,-6.363958621169904,0.9447616319707925,0.9740917303511041,,47.46012853001266
406208,aus_gr4j_lnnse,-0.08398600164573287,-23.932670952166646,True,1.0,117901157228.41566,True,4.613436136526186,0.9062530420257068,0.9414922592587893,0.20925316524395152,9.706541050522373
230210,aus_gr4j_lnnse,-0.06304982514203042,-37.133116576049545,True,1.0,53705378954.97407,True,29.289218897988196,0.8559520396051457,0.9353018445692708,0.07841041922997805,7.88214449779858
102101A,aus_gr4j_lnnse,-0.4553706556661898,-59.840089644371275,True,0.9737987976173373,962.8032122355012,True,6.831986143362543,0.9597559219013969,0.9772174842065032,,-43.405238842448036
305202,aus_gr4j_lnnse,-0.17182331142951826,-24.80113791984386,True,0.7596010770212562,57.214998774716626,True,0.928579941677814,0.8712146642179712,0.9182059175316553,0.6166571866313151,-9.483939313256608
406224,aus_gr4j_lnnse,-0.2030445640695059,-86.27282848633533,True,1.0,2956628339.371919,True,104.38479397109717,0.7316046691019101,0.9578119356233598,0.0766158376237976,-80.39124547533929
616002,aus_gr4j_lnnse,-0.09679532604584894,13.350594404370376,False,1.0,3052445024.0153832,True,3.652680874688121,0.8559355680335773,0.9653704979845136,0.09537234503879179,54.9445335318642
G9070142,aus_gr4j_lnnse,-0.3747132949874009,-33.78956475296576,True,1.0,48904636939.58914,True,6.380860038728341,0.9565693919639731,0.9823907092547008,,-37.7238665061082
G8190001,aus_gr4j_lnnse,-0.3126290923435146,-30.500224868865864,True,1.0,72125624305.46883,True,-30.625029997381237,0.9123943190239954,0.9783029455836498,,-55.462586977336095
G9030250,aus_gr4j_lnnse,-0.21219222607596397,96.04417829694098,False,-0.2754753940731029,-55.23830010641132,True,-23.719344747528336,0.9813096370236762,0.987267464557918,,34.09406614486195
116006B,aus_gr4j_lnnse,-0.20769571609475104,-27.848893787004428,True,0.47936966864081626,76.35048019635063,True,-2.5485130675166516,0.9638981434973052,0.9840904364639449,,-25.740746660763477
410761,aus_gr4j_lnnse,-0.20209592238390509,-17.868414448338456,True,0.7993344150151513,260.71710846586564,True,-1.5584077669371046,0.9280133106820542,0.9524828759724332,0.688826370022024,5.535418298219949
210006,aus_gr4j_lnnse,-0.32566230863522877,-62.428246514153415,True,0.9820022387909737,3177.3945166158524,True,23.67344583954059,0.9380810257177394,0.9574749091090538,0.7983886813749069,-31.384913411467007
