basin,run,branch,L,L_mode,alpha,pointwise_width,simultaneous_width,maxt_c
616002,aus_lstm_nse_s0,up,30,adaptive,0.01,0.25579000492243154,0.38802422733864383,2.7226789267123337
616002,aus_lstm_nse_s0,up,30,adaptive,0.05,0.21804157427452342,0.3154518951725047,2.7226789267123337
616002,aus_lstm_nse_s0,up,30,adaptive,0.2,0.36192890447132314,0.5606421502808525,2.7226789267123337
616002,aus_lstm_nse_s0,up,30,adaptive,1.0,0.10572331309208333,0.1453969024094519,2.7226789267123337
616002,aus_lstm_nse_s0,lo,30,adaptive,0.01,0.29797297297297287,0.43575963781517446,2.697202013524417
616002,aus_lstm_nse_s0,lo,30,adaptive,0.05,0.1639344262295082,0.2275351241508805,2.697202013524417
616002,aus_lstm_nse_s0,lo,30,adaptive,0.2,0.12452120383036935,0.16675698206306244,2.697202013524417
616002,aus_lstm_nse_s0,lo,30,adaptive,1.0,0.10572331309208494,0.14403638052634238,2.697202013524417
230210,aus_lstm_nse_s0,up,15,fixed,0.01,0.2814054483487367,0.39364711594507956,2.6634547046561656
230210,aus_lstm_nse_s0,up,15,fixed,0.05,0.1561824884238724,0.21503515893037112,2.6634547046561656
230210,aus_lstm_nse_s0,up,15,fixed,0.2,0.1705018114374114,0.23906899684576866,2.6634547046561656
230210,aus_lstm_nse_s0,up,15,fixed,1.0,0.09561782149762765,0.12742874370594537,2.6634547046561656
230210,aus_lstm_nse_s0,lo,15,fixed,0.01,0.32432432432432434,0.45459818923407475,2.6694509313919976
230210,aus_lstm_nse_s0,lo,15,fixed,0.05,0.18579234972677594,0.253528763454675,2.6694509313919976
230210,aus_lstm_nse_s0,lo,15,fixed,0.2,0.13820109439124484,0.18522785089332316,2.6694509313919976
230210,aus_lstm_nse_s0,lo,15,fixed,1.0,0.09561782149762843,0.1277156236136805,2.6694509313919976
230210,aus_lstm_nse_s0,up,30,fixed,0.01,0.31417978862748186,0.44186680145539076,2.7363765925693824
230210,aus_lstm_nse_s0,up,30,fixed,0.05,0.17711373863008056,0.25776846873577697,2.7363765925693824
230210,aus_lstm_nse_s0,up,30,fixed,0.2,0.21182616728666792,0.3108295180348226,2.7363765925693824
230210,aus_lstm_nse_s0,up,30,fixed,1.0,0.11343557511347924,0.1578978103053683,2.7363765925693824
230210,aus_lstm_nse_s0,lo,30,fixed,0.01,0.35202702702702693,0.4684848636698029,2.6035362412753376
230210,aus_lstm_nse_s0,lo,30,fixed,0.05,0.20218579234972678,0.26498010200418376,2.6035362412753376
230210,aus_lstm_nse_s0,lo,30,fixed,0.2,0.1586867305061559,0.21235530993220286,2.6035362412753376
230210,aus_lstm_nse_s0,lo,30,fixed,1.0,0.11343557511347935,0.1502324909021553,2.6035362412753376
230210,aus_lstm_nse_s0,up,60,fixed,0.01,0.31721848437730477,0.46283901647965464,2.7733369459813804
230210,aus_lstm_nse_s0,up,60,fixed,0.05,0.1773744832439575,0.264588349512102,2.7733369459813804
230210,aus_lstm_nse_s0,up,60,fixed,0.2,0.24350794058321834,0.37030335832913464,2.7733369459813804
230210,aus_lstm_nse_s0,up,60,fixed,1.0,0.12822712651860835,0.18021574532675522,2.7733369459813804
230210,aus_lstm_nse_s0,lo,60,fixed,0.01,0.37837837837837834,0.4819007066517451,2.606530379976606
230210,aus_lstm_nse_s0,lo,60,fixed,0.05,0.2132513661202186,0.2820195244346273,2.606530379976606
230210,aus_lstm_nse_s0,lo,60,fixed,0.2,0.168296853625171,0.2240711103802872,2.606530379976606
230210,aus_lstm_nse_s0,lo,60,fixed,1.0,0.12822712651861046,0.16937639540156813,2.606530379976606
230210,aus_lstm_nse_s0,up,90,fixed,0.01,0.32054954495674126,0.46037817089972666,2.7708116479874088
230210,aus_lstm_nse_s0,up,90,fixed,0.05,0.18260620636893415,0.27291358233327945,2.7708116479874088
230210,aus_lstm_nse_s0,up,90,fixed,0.2,0.2656050460257081,0.39925075017083667,2.7708116479874088
230210,aus_lstm_nse_s0,up,90,fixed,1.0,0.13021281461698175,0.18096595193196663,2.7708116479874088
230210,aus_lstm_nse_s0,lo,90,fixed,0.01,0.37837837837837834,0.4971351351351318,2.697520897431526
230210,aus_lstm_nse_s0,lo,90,fixed,0.05,0.19672131147540983,0.2771369111443749,2.697520897431526
230210,aus_lstm_nse_s0,lo,90,fixed,0.2,0.15601915184678516,0.22013676849936598,2.697520897431526
230210,aus_lstm_nse_s0,lo,90,fixed,1.0,0.13021281461698142,0.17617922077621273,2.697520897431526
230210,aus_lstm_nse_s0,up,30,adaptive,0.01,0.31417978862748186,0.44186680145539076,2.7363765925693824
230210,aus_lstm_nse_s0,up,30,adaptive,0.05,0.17711373863008056,0.25776846873577697,2.7363765925693824
230210,aus_lstm_nse_s0,up,30,adaptive,0.2,0.21182616728666792,0.3108295180348226,2.7363765925693824
230210,aus_lstm_nse_s0,up,30,adaptive,1.0,0.11343557511347924,0.1578978103053683,2.7363765925693824
230210,aus_lstm_nse_s0,lo,30,adaptive,0.01,0.35202702702702693,0.4684848636698029,2.6035362412753376
230210,aus_lstm_nse_s0,lo,30,adaptive,0.05,0.20218579234972678,0.26498010200418376,2.6035362412753376
230210,aus_lstm_nse_s0,lo,30,adaptive,0.2,0.1586867305061559,0.21235530993220286,2.6035362412753376
230210,aus_lstm_nse_s0,lo,30,adaptive,1.0,0.11343557511347935,0.1502324909021553,2.6035362412753376
G9030250,aus_lstm_nse_s0,up,15,fixed,0.01,0.39765726698629383,0.555125776579782,2.693411537201353
G9030250,aus_lstm_nse_s0,up,15,fixed,0.05,0.3556570993755781,0.5089955431241839,2.693411537201353
G9030250,aus_lstm_nse_s0,up,15,fixed,0.2,0.11403022909466001,0.1569687189466058,2.693411537201353
G9030250,aus_lstm_nse_s0,up,15,fixed,1.0,0.10650239901056935,0.15149227974609558,2.693411537201353
G9030250,aus_lstm_nse_s0,lo,15,fixed,0.01,0.40497711264395053,0.606530569777795,2.8102551735891828
