basin,arch,loss,n_seeds,A_up,A_lo,E5_up,E5_lo,B5_up,B5_lo,E1_up,E1_lo,E20_up,E20_lo,alpha_star_up,alpha_star_lo,delta_bar,beta_bar,Delta_asym,n,m1,zero_frac,cp1_up,ncp_up,cp1_lo,ncp_lo,H_mean_up,H_mean_lo,H5_up,H5_lo,NSE,lnNSE,KGE,KGEp,KGEnp,PBIAS,RMSE,RSR,VE,MAPE,SMAPE,BiasFHV,BiasFLV,BiasFMS,PeakBias,Q95Bias,Q90Bias,BFIBias
219001,lstm,nse,8,0.16732666200437135,0.46052576986788724,0.1342915086946034,0.7307146359638511,0.01875214356522831,0.7307146359638511,0.158847346005829,0.8622054097771387,0.11104741524897048,0.5782307963037902,0.02566347060643069,,0.28879524848981186,0.27327382381619025,-0.2931991078635159,3652,37,0.0,0.58,6,0.06,6,0.29974942531236964,0.3094983148367279,0.9919501207653617,0.0,0.8666698975386491,0.5184039659626696,0.6803642209395444,0.5641473911638056,0.7137703284458772,24.882733549998193,0.8877891006201495,0.365143947589647,0.5749627620392644,129.01066688352444,57.75904969796228,-5.6206560458189125,60.028503625761424,-37.07296382482024,-14.579604058878495,281.0231092321179,238.81088322329612,7.591883399482791
221207,lstm,nse,8,0.17614967097519033,0.10386270394064975,0.24654040058815457,0.10623152760698171,-0.2105589184810069,0.09164727499357785,0.30164520248226634,0.11487495381046667,0.21156448391744842,0.0887981470747524,,0.2689011191526434,0.13150003448768607,-0.08823477260905176,0.07228696703454057,3652,37,0.0,0.1,6,0.06,6,0.7646329786022984,0.7643147447050748,0.7154684703124268,0.6402914966613509,0.7283470560016174,0.8044747349605956,0.5364538084149812,0.6805193834979455,0.7378390068380329,-24.28530706834143,1.017793280465867,0.5212033614611312,0.689833494428159,22.938779380331145,26.30000689753712,-34.91217462931563,8.64047458780799,-11.451183812116955,-41.777456334451074,-3.6231384375137656,-4.103077221415484,0.9205615584081409
221210,lstm,nse,8,0.3646545618524996,0.8166896297691225,0.17446379232711845,0.9890710382513661,0.1383561820767809,0.9890710382513661,0.1677915195511135,0.972972972972973,0.24018631747485933,0.9700580148653988,,,0.5882663383508883,0.5853528791107535,-0.4520350679166229,3652,37,0.08461117196056955,0.09,6,0.24,6,0.07566724917761168,0.08360316147772874,0.7754845988998158,0.0,0.6637523999031651,0.17290999680998642,0.21557116304130175,0.261121911216429,0.2796889621748112,70.30728821501665,1.0199269497327448,0.5798686058900194,0.22416195140345363,7533.198308669857,117.65326767017754,42.94148513762175,-100.9516712895145,-45.6324530426904,28.895231479866233,2428567409515.381,16012.223342503807,8.482215573566657
222206,lstm,nse,8,0.1425749889778369,0.2991071304672736,0.15887084053700617,0.5977842682616006,-0.07398676723021642,0.5927164840406497,0.18047212479437152,0.7059415428980924,0.13634976688968292,0.3918682859189658,0.4241052246819851,,0.18911045117853176,0.11001716639483551,-0.1565321414894367,3652,37,0.0008214676889375684,0.06,6,0.06,6,0.7681605277011804,0.7750451582332338,0.9071780827663062,0.043383111418530275,0.8879976613119388,0.8521386040730348,0.8222292880394415,0.8150304446447054,0.9311243225349691,0.9121818671124297,0.30345894742198926,0.3346675046789891,0.6898095089913767,113.36468407750893,37.82209023570639,-15.358269659563337,69.6496978038681,-12.183914682598735,-23.178728571186,148.92079998096594,89.749460934837,2.2063012351933904
222213,lstm,nse,8,0.17818143865047908,0.3595796244380254,0.2650248923658927,0.7288878761335899,-0.24905646461619296,0.7288878761335899,0.3990083123033065,0.942324174451954,0.17653934752863312,0.4602616306049791,0.6614224975499069,,0.2232639411339017,0.11663367533371613,-0.1813981857875463,3652,37,0.0013691128148959474,0.06,6,0.06,6,0.6657761097703084,0.668298724735258,0.45791015897386966,0.019527942170252936,0.15249694911476075,0.7559665678197626,0.11255380158495665,0.148878212935178,0.8163967685481015,-12.442668115378508,1.0918339992217942,0.9205992889880152,0.568902549720016,137.19393059329786,44.65278822678028,-45.66130747559427,85.75681570798912,-20.78883662907163,-69.85921173395344,242.94514443647037,118.74047567160966,8.53541434828674
223202,lstm,nse,8,0.18698344048412535,0.46734421879225263,0.2295505079878334,0.8665454130558977,-0.16687230005417394,0.8665454130558977,0.28858007506345607,0.9974388654014329,0.17702213791199176,0.617749895957408,0.5268500825764236,,0.28023992133214976,0.19314212912115825,-0.2803607783081273,3652,37,0.006845564074479737,0.07,6,0.06,6,0.586966700132363,0.5943145136544907,0.7204277982170076,0.0,0.8261724203121111,0.7139820314513117,0.7089025934972922,0.7345418302606185,0.8825242619739299,-3.5721066617764903,0.25680561502846205,0.4169263480375027,0.5945400977896944,393.25949598052335,56.04798426642999,-23.530432887446615,51.9573176989563,-33.46706875871883,-33.51162349854595,434.00413743279273,184.79732712610976,1.5461620940423708
224206,lstm,nse,8,0.20209091790947045,0.39162615620569935,0.31436427196084904,0.8612641409441835,-0.3099486155219099,0.8612641409441835,0.3967396214845101,0.9984906133646542,0.22216567481004423,0.5339227774829397,0.9078186465656493,,0.2374896776163328,0.06894610974439536,-0.1895352382962289,3652,37,0.008488499452354874,0.06,6,0.06,6,0.6271618243996382,0.6290800250115018,0.22510921943664258,0.0,0.5567570356074099,0.7835323583953888,0.46266231820573855,0.5796859261911291,0.7677889553738864,-21.429652945536322,0.8491942081362062,0.6657649468037425,0.62875880491792,216.819759628624,47.497935523266584,-40.58480833656732,90.77805173384884,-21.30652532614219,-56.373267113751965,434.66509537997405,198.36148150885438,5.074813962683547
224213A,lstm,nse,8,0.18671402012158367,0.18827116983816158,0.26374875323125,0.38885659725722643,-0.2454011534663247,0.38885659725722643,0.36816231697804247,0.6734435070663477,0.2127989496805104,0.18567579057291342,,0.7806349246447677,0.16170948944859875,-0.04037870203630152,-0.0015571497165779158,3652,37,0.0,0.07,6,0.06,6,0.7328487034235164,0.734489503918956,0.3954555793919452,0.058815149281530976,0.6240053961985372,0.8575115752192684,0.48231252924750845,0.6131939397530624,0.7597849830402565,-22.783920247818124,0.6209850425440859,0.6131839885397063,0.6622185072844213,35.47198987705891,32.34189788971979,-42.001867469016986,63.17238104113355,-8.315791365653485,-55.30457005469012,44.01817217895241,22.085102834606182,3.718382544011238
224214A,lstm,nse,8,0.2057521185011708,0.19876476610862726,0.29476973731101824,0.24418468583618866,-0.22273525225597152,0.22302430866108472,0.3691988327935126,0.28443033120656885,0.2239934662306841,0.2181687674812038,0.9718680699987503,,0.18766431618590848,0.006422342426156709,0.0069873523925435554,3652,37,0.0,0.06,6,0.08,6,0.8988569244458389,0.9020126186416525,0.7873904846267074,0.43248937779737295,0.5804513972839547,0.7370087302610826,0.5196334598123851,0.6082316744494685,0.7521766755784082,-15.794049693538943,0.743019342556164,0.6477257156513436,0.5375452250215014,42.93666269427771,37.532863237181665,-38.07762653229911,-57.54241176914596,5.6382489346853175,-44.9520334782261,13.037263544616046,10.739974730508266,0.48739500124883806
225020A,lstm,nse,8,0.1957671559331451,0.2209083482834724,0.20928225986163054,0.26137477595116293,-0.2014652864447706,0.26137477595116293,0.3479404603389898,0.3051761832910069,0.20269221097703402,0.25558413846382844,0.6409211393664299,,0.19754554197419585,0.07720800485195616,-0.0251411923503273,3652,37,0.0,0.08,6,0.25,6,0.5547567778167298,0.557336964503378,0.542476551002154,0.0,0.4185657812508935,0.4363746781402582,0.5458095752441949,0.5182447930867182,0.6797722541005887,6.243204863155611,2.0581482679422685,0.7625183399427888,0.5969734574049947,47.352865017451876,39.50910839483919,-31.316281733688452,1.499732979786721,-16.123762146146625,-52.67045695513641,44.30997086196196,49.21053189029055,3.1146189171723675
